id,name
2441,Chicken Noodle Soup
2442,Chicken Tortilla Soup
2443,Chicken Tortilla Soup
2444,Chicken Tortilla Soup
2445,Chicken Tortilla Soup
2446,Chocolate Chip Pancakes (4)
2447,Chorizo & Eggs
2448,CINN-A-STACK® French Toast
2449,CINN-A-STACK® Pancakes (4)
2450,Cinnamon Swirl French Toast Combo
2451,Classic Skillets
2452,"Coffee, Cup"
2453,"Coffee, Full Carafe"
2454,Colorado Omelette
2455,Corned Beef Hash & Cheese Omelette
2456,Corned Beef Hash & Eggs
2457,Country Omelette
2458,Country/Chicken Fried Steak & Eggs w/Country Gravy
2459,Country/Chicken Fried Steak & Eggs w/Sausage Gravy
2460,Country/Chicken Fried Steak Dinner w/Country Gravy
2461,Country/Chicken Fried Steak Dinner w/Sausage Gravy
2462,"Cranberry Juice, 10 fl oz"
2463,"Cranberry Juice, 12 fl oz (Kid’s Cup)"
2464,"Cranberry Juice, 16 fl oz"
2465,"Cranberry Juice, Carafe"
2466,"Create Your Own Omelette, Plain"
2467,"Create Your Own Omelette, Plain w/Egg Substitute"
2468,"Create Your Own Viva La French Toast Combo, Blueberry"
2469,"Create Your Own Viva La French Toast Combo, CINN-A-STACK®"
2470,"Create Your Own Viva La French Toast Combo, Cinnamon Apple"
2471,"Create Your Own Viva La French Toast Combo, Original"
2472,"Create Your Own Viva La French Toast Combo, Strawberry"
2473,"Create Your Own Viva La French Toast Combo, Strawberry Banana"
2474,"Create Your Own Viva La French Toast Combo, Whole Wheat"
2475,Create-A-Face Pancake
2476,Crispy Chicken Salad w/Fried Chicken
2477,Crispy Chicken Salad w/Grilled Chicken
2478,Crispy Chicken Strips
2479,Crispy Chicken Strips
2480,Crispy Chicken Strips & Fries
2481,Crispy Strawberry Banana Cheesecake
2482,Dill Pickle Spear
2483,Double BLT
2484,Double Blueberry Pancakes (4)
2485,Eggs Benedict
2486,"Flavored Coffee, French Vanilla"
2487,"Flavored Coffee, Swiss Mocha"
2488,French Onion Pot Roast
2489,French Toast
2490,French Toast
2491,Fruit Crepe w/Blueberry Compote
2492,Fruit Crepe w/Cinnamon Apple Compote
2493,Fruit Crepe w/Strawberry Topping
2494,Funny Face® (Buttermilk)
2495,Funny Face® (Chocolate)
2496,Garden Omelette
2497,Garden Stuffed Crepes
2498,Garlic Bread
2499,German Crepes
2500,"Grapefruit Juice, 10 fl oz"
2501,"Grapefruit Juice, 12 fl oz (Kid’s Cup)"
2502,"Grapefruit Juice, 16 fl oz"
2503,"Grapefruit Juice, Carafe"
2504,Grilled Cheese Sandwich
2505,Grilled Chicken Caesar Salad
2506,"Grilled Chicken Caesar Salad, No Chicken"
