id,name
302,Chopped Side Salad
303,Classic Italian Toasted Sub
304,Cravin’ Chicken Sandwich – Crispy
305,Cravin’ Chicken Sandwich – Roast
306,Curly Fries – Kids
307,Curly Fries – Large
308,Curly Fries – Medium
309,Curly Fries – Small
310,Curly Fries – Value
311,French Dip & Swiss/Au Jus
312,Homestyle Fries – Kids
313,Homestyle Fries – Large
314,Homestyle Fries – Medium
315,Homestyle Fries – Small
316,Honey Dijon Mustard Sauce Adds
317,Horsey Sauce® Adds
318,Jalapeno Bites® – (5)
319,Jalapeno Bites® – (8)
320,Jamocha Oreo® Shake – Small
321,Jamocha Oreo® Swirl Shake – Regular
322,Jamocha Shake – Regular
323,Jamocha Shake – Small
324,Jr Chicken Sandwich
325,Jr Chocolate Shake
326,Jr Deluxe Sandwich
327,Jr Jamocha Shake
328,Jr Roast Beef
329,Jr Roast Beef Sandwich
330,Jr Vanilla Shake
331,Loaded Potato Bites® – (5)
332,Loaded Potato Bites® – (8)
333,Mozzarella Sticks – (4)
334,Mozzarella Sticks – (6)
335,Outside-In Cinnamon Bites™
336,Potato Cakes (2)
337,Potato Cakes (2)
338,Potato Cakes (3)
339,Potato Cakes (4)
340,Prime-Cut™ Chicken Tenders (3)
341,Prime-Cut™ Chicken Tenders (5)
342,Prime-Cut™ Chicken Tenders – (2)
343,Ranch Dipping Sauce Adds
344,Reuben Sandwich
345,Roast Beef Classic
346,Roast Beef Max
347,Roast Beef Mild
348,Roast Chicken Club
349,Roast Turkey & Swiss Sandwich
350,Roast Turkey & Swiss Wrap
351,Sausage Biscuit
352,Sausage Gravy Biscuit
353,"Sausage, Egg & Cheese Wrap"
354,Shroom & Swiss
355,Smokin’ Chipotle Chicken*
356,Steakhouse Onion Rings (5)
357,Super Roast Beef
358,Tangy Barbeque Sauce Adds
359,Vanilla Shake – Regular
360,Vanilla Shake – Small
361,Abc Special
362,Almond Croissant
363,Apple Croissant
364,Apple Danish
365,Apple Spice Bagel
366,Asiago Bagel
367,Asiago Cream Pasta
368,Asiago Focaccia
369,Asiago Loaf
370,Asiago Strip
371,Baja Chicken Enchilada
372,Baked Potato
373,Balsamic Bleu Salad
374,Banana Nut Muffin
375,Banana Nut Muffin Top
376,Basil Pesto Pasta
377,Bbq Chicken Pizza
378,Bear Claw
379,Belgian Waffle With Maple Syrup & Whipped Cream
380,Bella Chicken Sandwich
381,Bistro Chicken Press
382,Blueberry Muffin
383,Blueberry Muffin Top
384,Broccoli & Cheese
385,Caesar Salad
386,California Avocado
387,Caramel Nut Cheesecake
388,Carrot Cake Cheesecake
389,Cheese Croissant
390,Cheese Danish
391,Chicken & Sausage Gumbo
392,Chicken Cordon Bleu Panini
393,Chicken Parmesan
394,Chicken Peppercorn
395,Chicken Pesto Calzone
396,Chicken Pesto Panini
397,Chicken Salad On Sourdough
398,Chicken Waldorf
399,Chive Cream Cheese
400,Chocolate Chip Muffin
401,Chocolate Chip Muffin Top
402,Chocolate Chunk Cookie
403,Chocolate Croissant
404,Chocolate Toffee Cookie
405,"Chocolate, Oatmeal And Craisin Cookie"
406,Chopstix Chicken Salad
407,Ciabatta
408,Cinnamon Crisp Bagel
409,Cinnamon Raisin Bagel
410,Cinnamon Raisin Bread
411,Cinnamon Roll
412,Classic Beef Chili
413,Classic Chicken Noodle
414,Cookies And Cream Cheesecake
415,Creamy Caramel Brownie
416,Cubano Panini
417,Double Chocolate Brownie
418,Egg & Cheese Sandwich
419,Everything Bagel
420,Fettuccine Salmone
421,Florentine Omelette
422,Four Cheese Pizza
423,French Baguette
424,French Croissant
425,French Loaf
426,French Onion
427,French Roll
428,French Toast With Maple Syrup
429,Frontier Chicken Chili
430,Garden Vegetable
431,Gooey Butter Danish
432,Greek Salad
433,Homestyle Chicken & Dumpling
434,Honey Raisin Walnut Cream Cheese
435,Honey Wheat Bread
436,House Salad
437,Italian Vegetarian Panini
438,Key Lime Pie
439,Kid’S Cheese Pizza
440,Kid’S Grilled Cheese
441,Kid’S Peanut Butter & Jelly
442,Kid’S Penne And Cheese
443,Low Fat Apple Muffin
444,Low Fat Pumpkin Muffin
445,Low Fat Pumpkin Muffin Top
446,Margherita Pizza
447,Mocha Chip Muffin
448,Mocha Chip Muffin Top
449,Morning Classic With Sausage
450,New England Clam Chowder
451,Nine Grain Bread
452,Ny Hot Pastrami
453,Oatmeal Raisin Cookie
454,Olive Cream Cheese
455,Panini Bread
456,Peanut Butter Cookie
457,Pecan Roll
458,Pecan Turtle Cheesecake
459,Penne Bolognese
460,Penne Pomodoro
461,Pepperoni Pizza
462,Plain Bagel
463,Plain Cheesecake
464,Plain Cream Cheese
465,Poppy Seed Bagel
466,Pumpernickel Loaf
467,Pumpkin Cheesecake
468,Pumpkin Muffin
469,Raspberry Cheese Croissant
470,Raspberry Cheese Danish
471,Raspberry Cream Cheese
472,Rye Loaf
473,Salsa Fresca Salmon Salad
474,"Sausage, Egg & Cheese Sandwich"
475,Scrambled Eggs
476,Sesame Seed Bagel
477,Shortbread Cookie
478,Sourdough Baguette
479,Sourdough Bread
480,Sourdough Soup Bowl
481,Spanish Omelette
482,Sticky Bun
483,Three Cheese Omelette
484,Toffee Chocolate Chunk Cookie
485,Tomato Fennel & Dill
486,Tuna Salad On French
487,Turkey Club Panini
488,Turkey On Nine Grain
489,Vegetable Cream Cheese
490,Veggie On Nine Grain
491,Wheat Bagel
492,White Chocolate Macadamia Nut Cookie
493,White Pizza
494,Whole Grain Bagel
495,Wisconsin Cheese
496,1 Breast Dinner
497,1 Breast Dinner
498,12 piece & 6 biscuit box (serves 5-7)
499,12 piece Supremes box (serves 3-5)
500,2 Breast Dinner
501,2 Breast Dinner
502,2 piece Dinner (breast & wing)
503,2 piece Dinner (breast & wing)
504,2 piece Dinner (leg & thigh)
505,2 piece Dinner (leg & thigh)
506,2 Piece Supremes Kids’ Meal
507,2 Sausage Biscuits
508,20 piece & 10 biscuit box serves 9-11)
509,3 piece Dinner (leg & 2 thighs)
510,3 piece Dinner (leg & 2 thighs)
511,3 wing Dinner
512,3 wing Dinner
513,8 piece & 4 biscuit box (serves 3-5)
514,Bo-Berry Biscuit
515,Bo-Tato Rounds
516,Bo-Tato Rounds
517,Bo-Tato Rounds
518,Bojangles Cajun Pintos
519,Bojangles Cajun Pintos
520,Bojangles’ Dirty Rice
521,Bojangles’ Dirty Rice
522,Breast
523,Cajun Filet Biscuit
524,Cajun Filet Club Sandwich
525,Cajun Filet Sandwich
526,Chicken Leg Kids’ meal
527,Chicken Supremes Salad
528,Cinnamon Pecan Twist
529,Coffee (16oz)
530,Coffee (22oz)
531,Cole Slaw
532,Cole Slaw
533,Egg & Cheese Biscuit
534,Garden Salad
535,Gravy Biscuit
536,Green Beans
537,Green Beans
538,Grilled Chicken Club
539,Grilled Chicken Salad
540,Grilled Chicken Sandwich
541,Leg
542,Mac ‘N Cheese Kids’ Meal
543,Macaroni ‘N Cheese
544,Macaroni ‘N Cheese
545,Mashed Potatoes ‘N Gravy
546,Mashed Potatoes ‘N Gravy
547,Picnic Grits
548,Plain Biscuit
549,Roasted Chicken Bites
550,Sausage & Egg Biscuit
551,Sausage Biscuit
552,Seasoned Fries
553,Seasoned Fries
554,Seasoned Fries
555,Steak Biscuit
556,Supreme
557,"Sweet Iced Tea (16oz, with ice)"
558,"Sweet Iced Tea (22oz, with ice)"
559,"Sweet Iced Tea (32oz, with ice)"
560,Sweet Potato Pie
561,Thigh
562,"Unsweetened Iced Tea (16oz, with ice)"
563,"Unsweetened Iced Tea (22oz, with ice)"
564,"Unsweetened Iced Tea (32oz, with ice)"
565,Wing
566,1/2 lb Popcorn Shrimp
567,3/4 lb Popcorn Shrimp
568,Asian Zing
569,Ballpark Sampler
570,Big Jack Daddy Burger
571,Black & Bleu Burger
572,Blazin ®
573,Boneless (each)
574,Boneless Wings &Traditional Wings
575,Boneless Wings (4)
576,Breaded Tenders (each)
577,Buffalo Chicken Flatbread
578,Buffalo Chips Basket
