id,name,restaurant_id,category_id
339,Potato Cakes (4),3,3
340,Prime-Cut™ Chicken Tenders (3),3,8
341,Prime-Cut™ Chicken Tenders (5),3,8
342,Prime-Cut™ Chicken Tenders – (2),3,15
343,Ranch Dipping Sauce Adds,3,3
344,Reuben Sandwich,3,12
345,Roast Beef Classic,3,12
346,Roast Beef Max,3,12
347,Roast Beef Mild,3,12
348,Roast Chicken Club,3,12
349,Roast Turkey & Swiss Sandwich,3,12
350,Roast Turkey & Swiss Wrap,3,16
351,Sausage Biscuit,3,17
352,Sausage Gravy Biscuit,3,17
353,"Sausage, Egg & Cheese Wrap",3,17
354,Shroom & Swiss,3,12
355,Smokin’ Chipotle Chicken*,3,12
356,Steakhouse Onion Rings (5),3,3
357,Super Roast Beef,3,12
358,Tangy Barbeque Sauce Adds,3,3
359,Vanilla Shake – Regular,3,2
360,Vanilla Shake – Small,3,2
361,Abc Special,4,12
362,Almond Croissant,4,17
363,Apple Croissant,4,17
364,Apple Danish,4,17
365,Apple Spice Bagel,4,17
366,Asiago Bagel,4,17
367,Asiago Cream Pasta,4,5
368,Asiago Focaccia,4,18
369,Asiago Loaf,4,18
370,Asiago Strip,4,18
371,Baja Chicken Enchilada,4,14
372,Baked Potato,4,14
373,Balsamic Bleu Salad,4,11
374,Banana Nut Muffin,4,17
375,Banana Nut Muffin Top,4,17
376,Basil Pesto Pasta,4,5
377,Bbq Chicken Pizza,4,19
378,Bear Claw,4,17
379,Belgian Waffle With Maple Syrup & Whipped Cream,4,17
380,Bella Chicken Sandwich,4,12
381,Bistro Chicken Press,4,12
382,Blueberry Muffin,4,17
383,Blueberry Muffin Top,4,17
384,Broccoli & Cheese,4,14
385,Caesar Salad,4,11
386,California Avocado,4,12
387,Caramel Nut Cheesecake,4,4
388,Carrot Cake Cheesecake,4,4
389,Cheese Croissant,4,17
390,Cheese Danish,4,17
391,Chicken & Sausage Gumbo,4,14
392,Chicken Cordon Bleu Panini,4,12
393,Chicken Parmesan,4,5
394,Chicken Peppercorn,4,14
395,Chicken Pesto Calzone,4,19
396,Chicken Pesto Panini,4,12
397,Chicken Salad On Sourdough,4,12
398,Chicken Waldorf,4,12
399,Chive Cream Cheese,4,17
400,Chocolate Chip Muffin,4,17
401,Chocolate Chip Muffin Top,4,17
402,Chocolate Chunk Cookie,4,4
403,Chocolate Croissant,4,17
404,Chocolate Toffee Cookie,4,4
405,"Chocolate, Oatmeal And Craisin Cookie",4,4
406,Chopstix Chicken Salad,4,11
407,Ciabatta,4,18
408,Cinnamon Crisp Bagel,4,17
409,Cinnamon Raisin Bagel,4,17
410,Cinnamon Raisin Bread,4,18
411,Cinnamon Roll,4,17
412,Classic Beef Chili,4,14
413,Classic Chicken Noodle,4,14
414,Cookies And Cream Cheesecake,4,4
415,Creamy Caramel Brownie,4,4
416,Cubano Panini,4,12
417,Double Chocolate Brownie,4,4
418,Egg & Cheese Sandwich,4,17
419,Everything Bagel,4,17
420,Fettuccine Salmone,4,5
421,Florentine Omelette,4,17
422,Four Cheese Pizza,4,19
423,French Baguette,4,18
424,French Croissant,4,17
425,French Loaf,4,18
426,French Onion,4,14
427,French Roll,4,18
428,French Toast With Maple Syrup,4,17
429,Frontier Chicken Chili,4,14
430,Garden Vegetable,4,14
431,Gooey Butter Danish,4,17
432,Greek Salad,4,11
433,Homestyle Chicken & Dumpling,4,14
434,Honey Raisin Walnut Cream Cheese,4,17
435,Honey Wheat Bread,4,18
436,House Salad,4,11
437,Italian Vegetarian Panini,4,12
438,Key Lime Pie,4,4
439,Kid’S Cheese Pizza,4,15
440,Kid’S Grilled Cheese,4,15
441,Kid’S Peanut Butter & Jelly,4,15
442,Kid’S Penne And Cheese,4,15
443,Low Fat Apple Muffin,4,17
444,Low Fat Pumpkin Muffin,4,17
445,Low Fat Pumpkin Muffin Top,4,17
446,Margherita Pizza,4,19
447,Mocha Chip Muffin,4,17
448,Mocha Chip Muffin Top,4,17
449,Morning Classic With Sausage,4,17
450,New England Clam Chowder,4,14
451,Nine Grain Bread,4,18
452,Ny Hot Pastrami,4,12
453,Oatmeal Raisin Cookie,4,4
454,Olive Cream Cheese,4,17
455,Panini Bread,4,18
456,Peanut Butter Cookie,4,4
457,Pecan Roll,4,17
458,Pecan Turtle Cheesecake,4,4
459,Penne Bolognese,4,5
460,Penne Pomodoro,4,5
461,Pepperoni Pizza,4,19
462,Plain Bagel,4,17
463,Plain Cheesecake,4,4
464,Plain Cream Cheese,4,17
465,Poppy Seed Bagel,4,17
466,Pumpernickel Loaf,4,18
467,Pumpkin Cheesecake,4,4
468,Pumpkin Muffin,4,17
469,Raspberry Cheese Croissant,4,17
470,Raspberry Cheese Danish,4,17
471,Raspberry Cream Cheese,4,17
472,Rye Loaf,4,18
473,Salsa Fresca Salmon Salad,4,11
474,"Sausage, Egg & Cheese Sandwich",4,17
475,Scrambled Eggs,4,17
476,Sesame Seed Bagel,4,17
477,Shortbread Cookie,4,4
478,Sourdough Baguette,4,18
479,Sourdough Bread,4,18
480,Sourdough Soup Bowl,4,18
481,Spanish Omelette,4,17
482,Sticky Bun,4,17
483,Three Cheese Omelette,4,17
484,Toffee Chocolate Chunk Cookie,4,4
485,Tomato Fennel & Dill,4,14
486,Tuna Salad On French,4,12
487,Turkey Club Panini,4,12
488,Turkey On Nine Grain,4,12
489,Vegetable Cream Cheese,4,17
490,Veggie On Nine Grain,4,12
491,Wheat Bagel,4,17
492,White Chocolate Macadamia Nut Cookie,4,4
493,White Pizza,4,19
494,Whole Grain Bagel,4,17
495,Wisconsin Cheese,4,14
496,1 Breast Dinner,5,5
497,1 Breast Dinner,5,5
498,12 piece & 6 biscuit box (serves 5-7),5,5
499,12 piece Supremes box (serves 3-5),5,5
500,2 Breast Dinner,5,5
501,2 Breast Dinner,5,5
502,2 piece Dinner (breast & wing),5,5
503,2 piece Dinner (breast & wing),5,5
